turn,shock,price,volume,buy_orders,sell_orders
1,False,4,2,2,2
2,False,5,2,3,2
3,False,5,4,3,2
4,False,5,4,3,2
5,False,,0,3,2
6,False,5,4,3,2
7,False,5,1,1,2
8,False,6,3,2,2
9,False,,0,1,2
10,False,5,3,2,2
11,False,5,1,2,2
12,False,5,2,2,2
13,False,6,1,2,2
14,False,,0,2,2
15,False,5,4,2,2
16,False,5,1,1,2
17,False,5,1,2,2
18,False,,0,1,2
19,False,,0,2,2
20,False,5,2,2,2
21,False,6,1,2,2
22,False,,0,2,2
23,False,,0,1,2
24,False,,0,1,2
25,False,5,2,1,2
26,False,4,2,1,2
27,False,4,1,1,2
28,False,5,1,1,2
29,False,3,1,1,2
30,False,4,1,1,2
31,False,4,1,1,2
32,False,3,1,1,2
33,False,4,2,1,2
34,False,,0,0,2
35,False,3,2,1,2
36,False,3,1,1,2
37,False,,0,1,2
38,False,,0,0,2
39,False,4,2,1,2
40,False,,0,1,2
