turn,shock,price,volume,buy_orders,sell_orders
1,False,4,2,3,2
2,False,4,2,3,2
3,False,4,4,2,2
4,False,4,4,3,2
5,False,,0,3,2
6,False,5,4,3,2
7,False,,0,3,2
8,False,4,4,3,2
9,False,,0,3,2
10,False,4,6,3,2
11,False,5,4,3,2
12,False,6,2,3,2
13,False,5,4,3,2
14,False,6,5,3,2
15,False,6,2,2,2
16,False,7,5,3,2
17,False,8,1,3,2
18,False,8,1,3,2
19,False,8,3,3,2
20,False,8,1,1,2
21,False,,0,2,2
22,False,8,3,3,2
23,False,,0,3,2
24,False,8,2,3,2
25,False,9,2,3,2
26,False,,0,0,2
27,False,8,1,1,2
28,False,7,1,1,2
29,False,8,1,2,2
30,False,8,1,1,2
31,False,8,2,2,2
32,False,,0,0,2
33,False,8,2,2,2
34,False,,0,0,2
35,False,8,2,2,2
36,False,,0,0,2
37,False,8,1,2,2
38,False,,0,1,2
39,False,,0,0,2
40,False,5,1,1,2
