turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,3,1
2,False,4,4,3,2
3,False,,0,3,1
4,False,4,4,3,1
5,False,4,2,3,1
6,False,4,2,3,1
7,False,4,2,3,2
8,False,4,4,3,1
9,False,4,2,3,1
10,False,3,2,3,2
11,False,5,2,2,2
12,False,,0,3,1
13,False,5,2,2,1
14,False,4,2,2,1
15,True,,0,2,1
16,True,3,4,2,2
17,True,4,2,2,1
18,True,,0,2,0
19,True,4,3,2,1
20,True,5,3,2,2
21,True,,0,2,0
22,True,4,1,2,1
23,False,,0,2,2
24,False,3,1,2,2
25,False,5,2,2,2
26,False,4,2,2,1
27,False,4,2,2,1
28,False,5,4,2,2
29,False,4,4,2,2
30,False,5,2,2,1
31,False,6,2,2,1
32,False,6,2,2,2
33,False,6,1,2,2
34,False,5,3,2,2
35,False,,0,1,2
36,False,,0,2,2
37,False,,0,2,2
38,False,,0,2,2
39,False,,0,1,1
40,False,,0,1,2
