turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,2,1
2,False,4,2,3,1
3,False,4,4,3,2
4,False,5,2,2,2
5,False,,0,3,1
6,False,4,3,3,1
7,False,4,4,2,2
8,False,4,2,2,2
9,False,5,4,2,2
10,False,,0,1,1
11,False,4,4,2,2
12,False,4,4,2,2
13,False,4,2,1,1
14,False,4,1,2,2
15,True,4,4,2,2
16,True,4,1,1,1
17,True,,0,0,1
18,True,4,2,2,1
19,True,,0,1,0
20,True,,0,1,0
21,True,,0,1,1
22,True,5,2,2,2
23,False,5,2,2,2
24,False,6,2,2,2
25,False,7,1,2,1
26,False,6,4,2,2
27,False,6,4,2,2
28,False,5,1,1,2
29,False,5,2,2,2
30,False,5,2,2,2
31,False,5,2,2,2
32,False,5,2,2,2
33,False,4,1,1,2
34,False,5,1,2,2
35,False,5,2,2,2
36,False,5,1,2,2
37,False,5,3,2,2
38,False,5,1,1,2
39,False,5,2,2,2
40,False,5,2,2,2
