turn,shock,price,volume,buy_orders,sell_orders
1,False,4,1,3,1
2,False,5,2,3,1
3,False,5,2,3,1
4,False,5,2,3,1
5,False,5,2,3,2
6,False,6,4,3,2
7,False,6,2,3,1
8,False,7,6,3,2
9,False,8,5,3,2
10,False,8,1,1,2
11,False,8,1,1,2
12,False,7,2,2,1
13,False,8,2,2,2
14,False,8,1,1,2
15,True,8,2,2,2
16,True,8,1,1,2
17,True,9,2,2,2
18,True,8,1,1,2
19,True,6,2,2,2
20,True,6,2,2,1
21,True,7,2,2,2
22,True,6,1,1,2
23,False,7,1,3,1
24,False,6,1,3,1
25,False,6,3,2,2
26,False,6,1,1,2
27,False,,0,1,2
28,False,6,2,2,1
29,False,6,2,2,2
30,False,6,1,1,2
31,False,6,1,1,2
32,False,6,2,2,2
33,False,6,1,1,2
34,False,6,1,1,2
35,False,6,2,2,2
36,False,6,1,1,2
37,False,6,2,2,2
38,False,6,1,1,2
39,False,6,1,1,2
40,False,6,2,2,2
