turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,3,1
2,False,3,4,3,1
3,False,,0,1,1
4,False,3,4,3,2
5,False,3,3,3,2
6,False,3,2,3,1
7,False,3,2,2,1
8,False,3,4,3,2
9,False,3,4,2,2
10,False,4,2,3,1
11,False,3,2,2,1
12,False,4,2,2,1
13,False,4,4,3,1
14,False,4,2,2,2
15,True,4,2,3,2
16,True,4,3,2,1
17,True,3,1,2,1
18,True,4,3,2,2
19,True,4,1,2,1
20,True,4,1,2,1
21,True,,0,2,0
22,True,4,1,2,1
23,False,4,1,2,1
24,False,4,1,2,1
25,False,4,2,2,1
26,False,,0,2,0
27,False,4,1,2,1
28,False,4,1,2,1
29,False,,0,2,0
30,False,4,2,1,1
31,False,4,2,1,1
32,False,4,2,1,1
33,False,4,2,1,1
34,False,4,2,1,1
35,False,4,2,1,1
36,False,4,2,1,1
37,False,4,2,1,1
38,False,4,2,1,1
39,False,4,2,1,1
40,False,,0,0,0
